 L  L'   F   D  Om  Lm  Lv  Le  LM  Lj  Ls  Lu  Ln  Pa    PS       PC        ES       EC
 0   0   0   0   0   1   0  -4   0   0   0   0   0   0   0.0005   0.0003    0.0000   0.0000
 2   0   0  -2   1   0  -3   3   0   0   0   0   0   0   0.0016   0.0000    0.0000  -0.0009
-2   0   0   2   0   0   0   2   0   0  -2   0   0   0  -0.0003   0.0000    0.0000   0.0000
 0   0   2  -2   1   0   0  -7   9   0   0   0   0   0   0.0000   0.0003    0.0002  -0.0001
 0   0   0   0   0   0   0   0   0   4  -5   0   0   2   0.0007   0.0000    0.0000  -0.0003
 0   0   0   0   0   0   0   0   0   2   0   0   0   0  -0.0025   0.0022    0.0000   0.0000
 0   0   0   0   0   0   0   0   0   2   0   0   0   1   0.0042   0.0223    0.0119  -0.0022
 0   0   1  -1   1   0   0  -1   0   2   0   0   0   0  -0.0027  -0.0143   -0.0077   0.0014
 0   0   0   0   0   0   0   0   0   2   0   0   0   1   0.0009   0.0049    0.0026  -0.0005
 0   0   0   0   0   0   0   0   0   2   0   0   0   2  -0.1166   0.0000    0.0000   0.0505
 0   0   2  -2   2   0   0  -2   0   2   0   0   0   0  -0.0005   0.0000    0.0000   0.0002
 0   0   0   0   0   0   0   0   0   0   5   0   0   2  -0.0006   0.0000    0.0000   0.0003
 0   0   0   0   1   0   3  -5   0   0   0   0   0   0  -0.0008   0.0000    0.0001   0.0004
 0   0  -1   1   0   0   3  -4   0   0   0   0   0   0   0.0000  -0.0004    0.0000   0.0000
 0   0   2  -2   1   0  -3   3   0   0   0   0   0   0   0.0117   0.0000    0.0000  -0.0063
 0   0   0   0   1   0   0   2  -4   0   0   0   0   0  -0.0004   0.0008    0.0004   0.0002
 0   0   2  -2   1   0   0  -4   4   0   0   0   0   0   0.0003   0.0000    0.0000  -0.0002
 0   0   1  -1   2   0  -5   7   0   0   0   0   0   0  -0.0005   0.0000    0.0000   0.0002
 0   0   0   0   0   0   0   3  -6   0   0   0   0   0   0.0000   0.0031    0.0000   0.0000
 0   0   0   0   0   0   0  -3   6   0   0   0   0   1  -0.0005   0.0000    0.0001   0.0003
 0   0   1  -1   1   0   0  -4   6   0   0   0   0   0   0.0004   0.0000    0.0000  -0.0002
 0   0   0   0   0   0   0  -3   6   0   0   0   0   1  -0.0004   0.0000    0.0000   0.0002
 0   0   0   0   0   0   0  -3   6   0   0   0   0   2  -0.0024  -0.0013   -0.0006   0.0010
 0   0  -1   1   0   0   2  -2   0   0   0   0   0   0   0.0003   0.0000    0.0000   0.0000
